"ID","路线编号","所在行政区划代码","路线名称","起点名称","止点名称","起点桩号","止点桩号","里程（公里）","技术等级代码","技术等级","是否一幅高速","车道数量(个)","面层类型代码","面层类型","路基宽度(米)","路面宽度(米)","面层厚度(厘米)","设计时速(公里/小时)","修建年度","改建年度","最近一次修复养护年度","断链类型","是否城管路段","是否断头路段","路段收费性质","重复路段线路编号","重复路段起点桩号","重复路段终点桩号","养护里程","可绿化里程","已绿化里程","地貌代码","地貌汉字","涵洞数量(个)","管养单位名称","省际出入口","国道调整前路线编号","是否按干线公路管理接养","备注","F40","startx","starty","endx","endy"
"3018","S203","140215","大灵线","固定桥","西浮头","25.72","33.978","8.258","12","二级","否","2","11","沥青混凝土","8.5","7.9","9","60","2003","2014","","0","否","否","非收费","","","","8.258","6.28","5.18","2","重丘","10","大同县公路管理段","0","S203","是","","","MTEzLjQ4MjgyNDA4","MzkuODc0MDg2MjU=","MTEzLjU1MDMyODMz","MzkuODMwNTIxNjY="
"3020","S203","140225","大灵线","上韩村","下韩村","46.348","48.297","1.949","12","二级","否","2","11","沥青混凝土","12","11.4","9","60","2003","2014","","0","否","否","非收费","","","","1.949","1.949","1.949","1","山岭","1","浑源公路管理段","0","S203","是","","","MTEzLjU5MTk1NDc=","MzkuNzQ0MjA5OTg=","MTEzLjYwNDI1MDI2","MzkuNzI5MTc0MQ=="
"3021","S204","140212","拒云线","拒墙堡","新胜沟","0","14.5","14.5","12","二级","否","2","11","沥青混凝土","12","11","9","80","2004","2009","","0","否","否","非收费","","","","14.5","14.5","14.38","3","微丘","16","新荣公路管理段","1","S204","是","","","MTEzLjE2NDYyMjc2","NDAuMzkxNjU2MQ==","MTEzLjE2NTM0NjI=","NDAuMjcxMTQ1NDE="
"3023","S204","140212","拒云线","新荣","新荣","17","19.35","2.35","12","二级","否","2","11","沥青混凝土","18","17.5","6.5","80","2004","","","0","否","否","非收费","","","","2.35","2.35","1.19","3","微丘","2","新荣公路管理段","0","S204","是","","","MTEzLjE1NzIzMjM4","NDAuMjUwMTAxMg==","MTEzLjEzMjIyNDMy","NDAuMjQxNjM3OA=="
"3025","S204","140212","拒云线","甘庄","红墙村","29.34","31","1.66","12","二级","否","2","12","水泥混凝土","12","11.4","27","80","2004","","","0","否","否","非收费","","","","1.66","1.256","0","3","微丘","0","新荣公路管理段","0","S204","是","","","MTEzLjA5ODg2MzMz","NDAuMTY3NTc=","MTEzLjEwNzQ0NjE0","NDAuMTUzMzgwODM="
"3029","S205","140681","大石线","朔州界","榆林村","11.822","11.917","0.095","12","二级","否","2","11","沥青混凝土","12","11.4","9","60","2005","2013","","0","否","否","非收费","","","","0.095","0.095","0","4","平原","0","怀仁公路管理段","0","S205","是","","","MTEzLjA3MzgyNjY2","MzkuOTA3MDQ4MzM=","MTEzLjA3MzI5MzI=","MzkuOTA2Mjk3MDE="
"3030","S205","140681","大石线","榆林村","北窑村","11.917","17.446","5.529","12","二级","否","2","11","沥青混凝土","12","11.4","9","60","2005","2013","","0","否","否","非收费","","","","5.529","5.529","3.561","4","平原","23","怀仁公路管理段","0","S205","是","","","MTEzLjA3MzI5MzI=","MzkuOTA2Mjk3MDE=","MTEzLjA0NDA2ODA1","MzkuODY0NTI4NTQ="
"3032","S205","140681","大石线","西小寨","西小寨","20.865","20.905","0.04","12","二级","否","2","11","沥青混凝土","12","11","3","80","1992","","2006","0","否","否","非收费","","","","0.04","0.04","0","4","平原","0","怀仁公路管理段","0","S205","是","","","MTEzLjA3MjE3MzMz","MzkuODQzMDU0ODc=","MTEzLjA3MjUzNjY2","MzkuODQyODIyOTc="
"3034","S205","140681","大石线","西小寨","怀仁县城","21.268","21.914","0.646","13","三级","否","2","11","沥青混凝土","10.4","9.4","3","40","1976","","2007","0","否","否","非收费","","","","0.646","0.646","0.18","4","平原","0","怀仁公路管理段","0","S205","是","","","MTEzLjA3NTc3OTE2","MzkuODQwNzIwMzg=","MTEzLjA4MDg2MDA2","MzkuODM2NTIxMDQ="
"3035","S205","140681","大石线","怀仁县城","怀仁县城","21.914","22.799","0.885","13","三级","否","2","11","沥青混凝土","10.3","10.3","3","40","1976","","2007","0","否","否","非收费","","","","0.885","0.885","0.372","4","平原","0","怀仁公路管理段","0","S205","是","","","MTEzLjA4MDg2MDA2","MzkuODM2NTIxMDQ=","MTEzLjA4OTA4MzM=","MzkuODMxOTkyMjg="
"3038","S205","140681","大石线","郝家寨","郝家寨","28.621","29.007","0.386","12","二级","否","4","12","水泥混凝土","17","16.2","18","80","1995","","2006","0","否","否","非收费","","","","0.386","0.386","0.386","4","平原","1","怀仁公路管理段","0","S205","是","","","MTEzLjA1OTk5NTk2","MzkuODAxNzI0ODg=","MTEzLjA2NDUwNzY1","MzkuODAxNzk0MzQ="
"3048","S205","140622","大石线","西朱庄","西朱庄","53.305","54.577","1.272","12","二级","否","4","11","沥青混凝土","15","14.4","6","80","1975","2010","","0","否","否","非收费","","","","1.272","1.272","1.095","4","平原","2","应县公路管理段","0","S205","是","","","MTEzLjExMDIyNjY3","MzkuNjE0MDcyODE=","MTEzLjEyMzc2NTAy","MzkuNjA5NTkwNDU="
"3049","S205","140622","大石线","西朱庄","西朱庄","54.577","54.96","0.383","12","二级","否","4","12","水泥混凝土","18","18","22","80","1975","2010","","0","否","否","非收费","","","","0.383","0.383","0","4","平原","0","应县公路管理段","0","S205","是","","","MTEzLjEyMzc2NTAy","MzkuNjA5NTkwNDU=","MTEzLjEyNzQ4NDI4","MzkuNjA3Njg1ODU="
"3050","S205","140622","大石线","西朱庄","六里庄","54.96","58.84","3.88","12","二级","否","4","11","沥青混凝土","15","14.4","6","80","1975","2010","","0","否","否","非收费","","","","3.88","3.88","1.903","4","平原","2","应县公路管理段","0","S205","是","","","MTEzLjEyNzQ4NDI4","MzkuNjA3Njg1ODU=","MTEzLjE2MDQ4MjM=","MzkuNTg0MDg2ODg="
"3052","S205","140622","大石线","应县城","城下庄","60","66.235","6.235","12","二级","否","4","11","沥青混凝土","20","19","10","80","2014","","","0","否","否","非收费","","","","6.235","6.235","1.389","4","平原","31","应县公路管理段","0","S205","是","","","MTEzLjE3MTUzOTU1","MzkuNTc4MjU2MTM=","MTEzLjIzOTU5NDQ5","MzkuNTcwODQxNzk="
"3055","S205","140622","大石线","丁堡","大石口","76.828","77.338","0.51","12","二级","否","2","12","水泥混凝土","8.6","7.6","26","60","1998","","2007","0","否","否","非收费","","","","0.51","0.51","0","1","山岭","2","应县公路管理段","0","S205","是","","","MTEzLjMyODQ3NzUy","MzkuNDk4NDYwNzg=","MTEzLjMyNzU5ODM1","MzkuNDkzOTMzOTY="
"3056","S205","140622","大石线","大石口","大石口","77.338","77.502","0.164","12","二级","否","2","12","水泥混凝土","8.6","7.6","26","60","1998","","2007","0","否","否","非收费","","","","0.164","0.164","0","1","山岭","0","应县公路管理段","0","S205","是","","","MTEzLjMyNzU5ODM1","MzkuNDkzOTMzOTY=","MTEzLjMyNzQ4NDI=","MzkuNDkyNDYyNTE="
"3064","S205","140924","大石线","忻州交界","川草坪","103.92","110.317","6.397","12","二级","否","2","12","水泥混凝土","9","8","20","60","1969","1997","","0","否","否","经营","","","","6.397","0","0","1","山岭","26","山西恒源实业有限公司","0","S205","是","","","MTEzLjQ0NDE1MzMz","MzkuMzE4ODgzMzM=","MTEzLjQ4NTMxMDMx","MzkuMzEyMTA3Mg=="
"3068","S206","140214","大忻线","西花园","西韩岭","0","4.126","4.126","11","一级","否","4","11","沥青混凝土","22","14.5","14","80","2004","2014","","0","否","否","还贷","","","","4.126","3.936","3.936","4","平原","2","大同市公路管理段","0","S206","是","","","MTEzLjIxNjE2MzMz","NDAuMDQ1MDA4MzM=","MTEzLjIzNzA5MzAx","NDAuMDExNDY0NjM="
"3069","S206","140214","大忻线","西韩岭","秀女村","4.126","13.148","9.022","11","一级","否","4","11","沥青混凝土","24.5","22","14","80","1989","2014","","5","否","否","还贷","G208","493.521","502.543","9.022","9.022","9.022","4","平原","24","大同市公路管理段","0","S206","是","","","MTEzLjIzNDA2OTc0","NDAuMDExNjI4ODM=","MTEzLjE4OTcwNzQy","MzkuOTM4MjgxMjQ="
"3070","S206","140681","大忻线","秀女村","秀女村","13.148","13.278","0.13","11","一级","否","4","11","沥青混凝土","24","22","9","80","1989","","2010","0","否","否","非收费","G208","502.543","502.673","0.13","0.13","0","4","平原","0","怀仁公路管理段","0","S206","是","","","MTEzLjE4OTcwNzQy","MzkuOTM4MjgxMjQ=","MTEzLjE4OTAzNDE5","MzkuOTM3MjQwNjY="
"3071","S206","140681","大忻线","秀女村","秀女村","13.278","13.545","0.267","12","二级","否","2","11","沥青混凝土","12.25","11.25","9","80","1989","2017","","0","否","否","非收费","G208","502.673","502.94","0.267","0.267","0","4","平原","0","怀仁公路管理段","0","S206","是","","","MTEzLjE4OTAzNDE5","MzkuOTM3MjQwNjY=","MTEzLjE4NzY1OTEz","MzkuOTM1MDg4ODQ="
"3073","S206","140681","大忻线","王家堡西南","王家堡","21.587","21.84","0.253","11","一级","否","4","11","沥青混凝土","24.5","22.5","9","80","1989","2017","","0","否","否","非收费","","","","0.253","0.253","0.253","4","平原","0","怀仁公路管理段","0","S206","是","","","MTEzLjEzNzkwNjc2","MzkuODc0NDUwMjQ=","MTEzLjEzNTQxOTk1","MzkuODczMjI2Mjc="
"3076","S206","140621","大忻线","李家窑","长链发生处","68.651","77.219","8.568","12","二级","否","2","11","沥青混凝土","12","11.4","10","60","1989","2012","","0","否","否","非收费","","","","8.568","8.568","8.568","4","平原","26","山阴公路管理段","0","S206","是","","","MTEyLjgwOTQxNTA3","MzkuNTYwOTE4OTQ=","MTEyLjc5MzU1Njcy","MzkuNDk2Nzg2Mjg="
"3077","S206","140621","大忻线","长链发生处","贺家窑村","77.219","78.466","1.247","12","二级","否","2","11","沥青混凝土","12","11.4","10","60","1989","2012","","0","否","否","非收费","","","","1.247","1.199","1.122","4","平原","10","山阴公路管理段","0","S206","是","","","MTEyLjc5MzU1Njcy","MzkuNDk2Nzg2Mjg=","MTEyLjc5NDM0NjY2","MzkuNDg1Njg4MzM="
"3078","S206","140621","大忻线","贺家窑村","西沟村","78.466","79.775","1.309","12","二级","否","2","11","沥青混凝土","12","11.4","10","60","1989","2012","","0","否","否","非收费","","","","1.309","1.309","0.893","4","平原","6","山阴公路管理段","0","S206","是","","","MTEyLjc5NDM0NjY2","MzkuNDg1Njg4MzM=","MTEyLjc4Nzg3NTc2","MzkuNDc1MDM5NjI="
"3079","S206","140621","大忻线","西沟村","东榆林","79.775","89.396","9.621","12","二级","否","2","11","沥青混凝土","12","11","9","80","1989","","2009","0","否","否","非收费","","","","9.621","9.621","9.455","4","平原","28","山阴公路管理段","0","S206","是","","","MTEyLjc4Nzg3NTc2","MzkuNDc1MDM5NjI=","MTEyLjcxODQ5","MzkuNDA3ODAzMzM="
"3080","S206","140602","大忻线","东榆林","大洼村东北","89.396","106.019","16.623","12","二级","否","2","11","沥青混凝土","12","11","9","80","1989","","2009","0","否","否","非收费","","","","16.623","16.623","14.357","4","平原","66","朔城区公路管理段","0","S206","是","","","MTEyLjcxODQ5","MzkuNDA3ODAzMzM=","MTEyLjUzNzgyNTg3","MzkuMzgyNzgwNDQ="
"3081","S206","140602","大忻线","大洼村东北","元子河","106.019","107.177","1.158","12","二级","否","2","11","沥青混凝土","15","14.5","9","80","1989","","2017","0","否","否","非收费","","","","1.158","1.158","0.853","4","平原","3","朔城区公路管理段","0","S206","是","","","MTEyLjUzNzgyNTg3","MzkuMzgyNzgwNDQ=","MTEyLjUyNDU1NTIx","MzkuMzgxMDgwODQ="
"3084","S210","140226","宁应线","三屯","三屯","16.68","17.315","0.635","12","二级","否","2","11","沥青混凝土","11","9","7","60","2004","","","0","否","否","非收费","","","","0.635","0.635","0.635","3","微丘","1","左云公路管理段","0","S210","是","","","MTEyLjcyMDIwODEz","NDAuMTAxMjI1MDQ=","MTEyLjcyMTQ3NDQ3","NDAuMDk1NDk2NDg="
"3085","S210","140226","宁应线","三屯","三屯","17.315","19.589","2.274","12","二级","否","2","11","沥青混凝土","11.4","10.4","7","80","2006","","","0","否","否","非收费","","","","2.274","2.274","2.274","4","平原","1","左云公路管理段","0","S210","是","","","MTEyLjcyMTQ3NDQ3","NDAuMDk1NDk2NDg=","MTEyLjczNDg5MzI5","NDAuMDc5NTg2NTc="
"3087","S210","140226","宁应线","黄村","黄村","19.7","20.35","0.65","12","二级","否","2","12","水泥混凝土","10","9","25","80","2006","","","0","否","否","非收费","","","","0.65","0.65","0.65","4","平原","1","左云公路管理段","0","S210","是","","","MTEyLjczNTI5NzI5","NDAuMDc4NjA5MzY=","MTEyLjczNzIyMzQy","NDAuMDcyOTg3Mjk="
"3092","S210","140226","宁应线","左云城","郭家坪","32.5","45.375","12.875","12","二级","否","2","11","沥青混凝土","11.4","10.4","7","60","2006","","","0","否","否","非收费","","","","12.875","12.875","12.875","2","重丘","12","左云公路管理段","0","S210","是","","","MTEyLjcwMTQ0NTAx","MzkuOTkxMzQ2Njc=","MTEyLjc2NzQwNQ==","MzkuOTA1MTkzMzM="
"3096","S210","140681","宁应线","碗窑","碗窑","66.24","66.436","0.196","12","二级","否","2","11","沥青混凝土","10","9","8","60","1996","2004","2009","0","否","否","非收费","","","","0.196","0.196","0.06","1","山岭","1","怀仁公路管理段","0","S210","是","","","MTEyLjg3NDk4ODk3","MzkuNzU1NzI1NjU=","MTEyLjg3NjE3NzEx","MzkuNzU0MjE4OA=="
"3097","S210","140681","宁应线","碗窑","大峪口","66.436","67.811","1.375","12","二级","否","2","11","沥青混凝土","8.5","7.5","8","60","1996","2004","2009","0","否","否","非收费","","","","1.375","1.375","0","1","山岭","2","怀仁公路管理段","0","S210","是","","","MTEyLjg3NjE3NzEx","MzkuNzU0MjE4OA==","MTEyLjg4MDY0MDA5","MzkuNzQzNTk2NjI="
"3104","S210","140622","宁应线","怀应界","马庄","85.058","86.559","1.501","12","二级","否","2","11","沥青混凝土","12","9","6.5","80","1996","2004","","0","否","否","非收费","","","","1.501","1.501","1.092","4","平原","1","应县公路管理段","0","S210","是","","","MTEzLjAxMDE1NQ==","MzkuNjM4MzQ2Njc=","MTEzLjAyNzIyMjA1","MzkuNjM1MzI0NDY="
"3105","S210","140622","宁应线","马庄","马庄","86.559","86.644","0.085","12","二级","否","2","11","沥青混凝土","13","13","3","80","1996","2004","","0","否","否","非收费","","","","0.085","0.085","0","4","平原","0","应县公路管理段","0","S210","是","","","MTEzLjAyNzIyMjA1","MzkuNjM1MzI0NDY=","MTEzLjAyODE4MjAz","MzkuNjM1MTM1NjU="
"3107","S210","140622","宁应线","马庄","西朱庄","87.267","94.096","6.829","12","二级","否","4","11","沥青混凝土","15","14.4","3","80","1996","2004","","0","否","否","非收费","","","","6.829","6.829","4.953","4","平原","4","应县公路管理段","0","S210","是","","","MTEzLjAzNTI2NzE0","MzkuNjMzOTA4Mzg=","MTEzLjExMDIyNjY3","MzkuNjE0MDcyODE="
"3109","S210","140622","宁应线","西朱庄","西朱庄","95.368","95.751","0.383","12","二级","否","4","12","水泥混凝土","18","18","22","80","1975","2010","","0","否","否","非收费","S205","54.577","54.96","0","0.383","0","4","平原","0","应县公路管理段","0","S210","是","","","MTEzLjEyMzc2NTAy","MzkuNjA5NTkwNDU=","MTEzLjEyNzQ4NDI4","MzkuNjA3Njg1ODU="
"3110","S210","140622","宁应线","西朱庄","六里庄","95.751","99.631","3.88","12","二级","否","4","11","沥青混凝土","15","14.4","6","80","1975","2010","","0","否","否","非收费","S205","54.96","58.84","0","3.88","0","4","平原","0","应县公路管理段","0","S210","是","","","MTEzLjEyNzQ4NDI4","MzkuNjA3Njg1ODU=","MTEzLjE2MDQ4MjM=","MzkuNTg0MDg2ODg="
"3111","S210","140622","宁应线","六里庄","应县城","99.631","102.385","2.754","12","二级","否","2","11","沥青混凝土","14.5","14","6.5","80","1996","","2004","0","否","否","非收费","","","","2.754","2.754","0","4","平原","8","应县公路管理段","0","S210","是","","","MTEzLjE2MDQ4MjM=","MzkuNTg0MDg2ODg=","MTEzLjE1NTYwNTk5","MzkuNTU5NzcwMDg="
